a1,a2,a3,a4,a5,a6,a7,class
_,_,_,Remember,COMMA,though,COMMA,VB
_,_,Remember,COMMA,though,COMMA,that,COMMA
_,Remember,COMMA,though,COMMA,that,beta,RB
Remember,COMMA,though,COMMA,that,beta,also,COMMA
COMMA,though,COMMA,that,beta,also,has,DT
though,COMMA,that,beta,also,has,important,NN
COMMA,that,beta,also,has,important,limitations,RB
that,beta,also,has,important,limitations,PERIOD,VBZ
beta,also,has,important,limitations,PERIOD,_,JJ
also,has,important,limitations,PERIOD,_,_,NNS
has,important,limitations,PERIOD,_,_,_,PERIOD
_,_,_,I,do,nSQt,know,PRP
_,_,I,do,nSQt,know,the,VBP
_,I,do,nSQt,know,the,quality,RB
I,do,nSQt,know,the,quality,of,VB
do,nSQt,know,the,quality,of,the,DT
nSQt,know,the,quality,of,the,works,NN
know,the,quality,of,the,works,my,IN
the,quality,of,the,works,my,colleagues,DT
quality,of,the,works,my,colleagues,have,NNS
of,the,works,my,colleagues,have,sent,PRPSTR
the,works,my,colleagues,have,sent,in,NNS
works,my,colleagues,have,sent,in,COMMA,VBP
my,colleagues,have,sent,in,COMMA,but,VBN
colleagues,have,sent,in,COMMA,but,in,RP
have,sent,in,COMMA,but,in,any,COMMA
sent,in,COMMA,but,in,any,case,CC
in,COMMA,but,in,any,case,I,IN
COMMA,but,in,any,case,I,feel,DT
but,in,any,case,I,feel,confident,NN
in,any,case,I,feel,confident,that,PRP
any,case,I,feel,confident,that,good,VBP
case,I,feel,confident,that,good,sense,JJ
I,feel,confident,that,good,sense,and,IN
feel,confident,that,good,sense,and,honest,JJ
confident,that,good,sense,and,honest,judgment,NN
that,good,sense,and,honest,judgment,PERIODPERIODPERIOD,CC
good,sense,and,honest,judgment,PERIODPERIODPERIOD,DQ,JJ
sense,and,honest,judgment,PERIODPERIODPERIOD,DQ,_,NN
and,honest,judgment,PERIODPERIODPERIOD,DQ,_,_,COLON
honest,judgment,PERIODPERIODPERIOD,DQ,_,_,_,DQ
_,_,_,DBQ,Nevertheless,it,SQs,DBQ
_,_,DBQ,Nevertheless,it,SQs,TRUE,RB
_,DBQ,Nevertheless,it,SQs,TRUE,DQ,PRP
DBQ,Nevertheless,it,SQs,TRUE,DQ,PERIOD,VBZ
Nevertheless,it,SQs,TRUE,DQ,PERIOD,_,JJ
it,SQs,TRUE,DQ,PERIOD,_,_,DQ
SQs,TRUE,DQ,PERIOD,_,_,_,PERIOD
_,_,_,DBQ,We,have,enough,DBQ
_,_,DBQ,We,have,enough,products,PRP
_,DBQ,We,have,enough,products,to,VBP
DBQ,We,have,enough,products,to,make,JJ
We,have,enough,products,to,make,and,NNS
have,enough,products,to,make,and,the,TO
enough,products,to,make,and,the,markets,VB
products,to,make,and,the,markets,to,CC
to,make,and,the,markets,to,sell,DT
make,and,the,markets,to,sell,these,NNS
and,the,markets,to,sell,these,products,TO
the,markets,to,sell,these,products,PERIOD,VB
markets,to,sell,these,products,PERIOD,DQ,DT
to,sell,these,products,PERIOD,DQ,_,NNS
sell,these,products,PERIOD,DQ,_,_,PERIOD
these,products,PERIOD,DQ,_,_,_,DQ
_,_,_,MrPERIOD,Blum,added,he,NNP
_,_,MrPERIOD,Blum,added,he,was,NNP
_,MrPERIOD,Blum,added,he,was,nSQt,VBD
MrPERIOD,Blum,added,he,was,nSQt,surprised,PRP
Blum,added,he,was,nSQt,surprised,MrPERIOD,VBD
added,he,was,nSQt,surprised,MrPERIOD,Koenig,RB
he,was,nSQt,surprised,MrPERIOD,Koenig,resigned,VBN
was,nSQt,surprised,MrPERIOD,Koenig,resigned,COMMA,NNP
nSQt,surprised,MrPERIOD,Koenig,resigned,COMMA,but,NNP
surprised,MrPERIOD,Koenig,resigned,COMMA,but,his,VBD
MrPERIOD,Koenig,resigned,COMMA,but,his,departure,COMMA
Koenig,resigned,COMMA,but,his,departure,was,CC
resigned,COMMA,but,his,departure,was,DBQ,PRPSTR
COMMA,but,his,departure,was,DBQ,nothing,NN
but,his,departure,was,DBQ,nothing,that,VBD
his,departure,was,DBQ,nothing,that,we,DBQ
departure,was,DBQ,nothing,that,we,desired,NN
was,DBQ,nothing,that,we,desired,or,IN
DBQ,nothing,that,we,desired,or,worked,PRP
nothing,that,we,desired,or,worked,for,VBD
that,we,desired,or,worked,for,PERIOD,CC
we,desired,or,worked,for,PERIOD,DQ,VBD
desired,or,worked,for,PERIOD,DQ,_,IN
or,worked,for,PERIOD,DQ,_,_,PERIOD
worked,for,PERIOD,DQ,_,_,_,DQ
_,_,_,A,surprising,78,PERCENT,DT
_,_,A,surprising,78,PERCENT,of,JJ
_,A,surprising,78,PERCENT,of,people,CD
A,surprising,78,PERCENT,of,people,said,NN
surprising,78,PERCENT,of,people,said,they,IN
78,PERCENT,of,people,said,they,exercise,NNS
PERCENT,of,people,said,they,exercise,regularly,VBD
of,people,said,they,exercise,regularly,COMMA,PRP
people,said,they,exercise,regularly,COMMA,up,VBP
said,they,exercise,regularly,COMMA,up,from,RB
they,exercise,regularly,COMMA,up,from,73,COMMA
exercise,regularly,COMMA,up,from,73,PERCENT,RB
regularly,COMMA,up,from,73,PERCENT,in,IN
COMMA,up,from,73,PERCENT,in,1981,CD
up,from,73,PERCENT,in,1981,PERIOD,NN
from,73,PERCENT,in,1981,PERIOD,_,IN
73,PERCENT,in,1981,PERIOD,_,_,CD
PERCENT,in,1981,PERIOD,_,_,_,PERIOD
_,_,_,He,sighed,and,leaned,PRP
_,_,He,sighed,and,leaned,for,VBD
_,He,sighed,and,leaned,for,a,CC
He,sighed,and,leaned,for,a,moment,VBD
sighed,and,leaned,for,a,moment,against,IN
and,leaned,for,a,moment,against,the,DT
leaned,for,a,moment,against,the,trunk,NN
for,a,moment,against,the,trunk,PERIOD,IN
a,moment,against,the,trunk,PERIOD,_,DT
moment,against,the,trunk,PERIOD,_,_,NN
against,the,trunk,PERIOD,_,_,_,PERIOD
_,_,_,That,may,be,the,DT
_,_,That,may,be,the,largest,MD
_,That,may,be,the,largest,patent,VB
That,may,be,the,largest,patent,award,DT
may,be,the,largest,patent,award,ever,JJS
be,the,largest,patent,award,ever,COMMA,NN
the,largest,patent,award,ever,COMMA,but,NN
largest,patent,award,ever,COMMA,but,it,RB
patent,award,ever,COMMA,but,it,is,COMMA
award,ever,COMMA,but,it,is,well,CC
ever,COMMA,but,it,is,well,below,PRP
COMMA,but,it,is,well,below,the,VBZ
but,it,is,well,below,the,STR,RB
it,is,well,below,the,STR,12,IN
is,well,below,the,STR,12,billion,DT
well,below,the,STR,12,billion,Polaroid,STR
below,the,STR,12,billion,Polaroid,seeks,CD
the,STR,12,billion,Polaroid,seeks,PERIOD,CD
STR,12,billion,Polaroid,seeks,PERIOD,_,NNP
12,billion,Polaroid,seeks,PERIOD,_,_,VBZ
billion,Polaroid,seeks,PERIOD,_,_,_,PERIOD
_,_,_,They,move,only,in,PRP
_,_,They,move,only,in,accordance,VBP
_,They,move,only,in,accordance,with,RB
They,move,only,in,accordance,with,what,IN
move,only,in,accordance,with,what,is,NN
only,in,accordance,with,what,is,in,IN
in,accordance,with,what,is,in,their,WP
accordance,with,what,is,in,their,natures,VBZ
with,what,is,in,their,natures,PERIOD,IN
what,is,in,their,natures,PERIOD,_,PRPSTR
is,in,their,natures,PERIOD,_,_,NNS
in,their,natures,PERIOD,_,_,_,PERIOD
_,_,_,Dan,EPERIOD,Nelms,COMMA,NNP
_,_,Dan,EPERIOD,Nelms,COMMA,Valley,NNP
_,Dan,EPERIOD,Nelms,COMMA,Valley,Federal,NNP
Dan,EPERIOD,Nelms,COMMA,Valley,Federal,SQs,COMMA
EPERIOD,Nelms,COMMA,Valley,Federal,SQs,president,NNP
Nelms,COMMA,Valley,Federal,SQs,president,and,NNP
COMMA,Valley,Federal,SQs,president,and,chief,POS
Valley,Federal,SQs,president,and,chief,executive,NN
Federal,SQs,president,and,chief,executive,officer,CC
SQs,president,and,chief,executive,officer,COMMA,JJ
president,and,chief,executive,officer,COMMA,said,NN
and,chief,executive,officer,COMMA,said,the,NN
chief,executive,officer,COMMA,said,the,one-time,COMMA
executive,officer,COMMA,said,the,one-time,charge,VBD
officer,COMMA,said,the,one-time,charge,substantially,DT
COMMA,said,the,one-time,charge,substantially,eliminates,JJ
said,the,one-time,charge,substantially,eliminates,future,NN
the,one-time,charge,substantially,eliminates,future,losses,RB
one-time,charge,substantially,eliminates,future,losses,associated,VBZ
charge,substantially,eliminates,future,losses,associated,with,JJ
substantially,eliminates,future,losses,associated,with,the,NNS
eliminates,future,losses,associated,with,the,unit,VBN
future,losses,associated,with,the,unit,PERIOD,IN
losses,associated,with,the,unit,PERIOD,_,DT
associated,with,the,unit,PERIOD,_,_,NN
with,the,unit,PERIOD,_,_,_,PERIOD
_,_,_,He,thought,the,financing,PRP
_,_,He,thought,the,financing,COMMA,VBD
_,He,thought,the,financing,COMMA,the,DT
He,thought,the,financing,COMMA,the,advertising,NN
thought,the,financing,COMMA,the,advertising,COMMA,COMMA
the,financing,COMMA,the,advertising,COMMA,the,DT
financing,COMMA,the,advertising,COMMA,the,production,NN
COMMA,the,advertising,COMMA,the,production,of,COMMA
the,advertising,COMMA,the,production,of,new,DT
advertising,COMMA,the,production,of,new,models,NN
COMMA,the,production,of,new,models,COMMA,IN
the,production,of,new,models,COMMA,the,JJ
production,of,new,models,COMMA,the,founding,NNS
of,new,models,COMMA,the,founding,of,COMMA
new,models,COMMA,the,founding,of,a,DT
models,COMMA,the,founding,of,a,nationwide,NN
COMMA,the,founding,of,a,nationwide,chain,IN
the,founding,of,a,nationwide,chain,of,DT
founding,of,a,nationwide,chain,of,dealerships,JJ
of,a,nationwide,chain,of,dealerships,was,NN
a,nationwide,chain,of,dealerships,was,simply,IN
nationwide,chain,of,dealerships,was,simply,too,NNS
chain,of,dealerships,was,simply,too,difficult,VBD
of,dealerships,was,simply,too,difficult,PERIOD,RB
dealerships,was,simply,too,difficult,PERIOD,_,RB
was,simply,too,difficult,PERIOD,_,_,JJ
simply,too,difficult,PERIOD,_,_,_,PERIOD
_,_,_,DBQ,If,a,salesman,DBQ
_,_,DBQ,If,a,salesman,jeopardizes,IN
_,DBQ,If,a,salesman,jeopardizes,his,DT
DBQ,If,a,salesman,jeopardizes,his,credibility,NN
If,a,salesman,jeopardizes,his,credibility,in,VBZ
a,salesman,jeopardizes,his,credibility,in,this,PRPSTR
salesman,jeopardizes,his,credibility,in,this,time,NN
jeopardizes,his,credibility,in,this,time,of,IN
his,credibility,in,this,time,of,trouble,DT
credibility,in,this,time,of,trouble,COMMA,NN
in,this,time,of,trouble,COMMA,it,IN
this,time,of,trouble,COMMA,it,will,NN
time,of,trouble,COMMA,it,will,be,COMMA
of,trouble,COMMA,it,will,be,a,PRP
trouble,COMMA,it,will,be,a,problem,MD
COMMA,it,will,be,a,problem,for,VB
it,will,be,a,problem,for,the,DT
will,be,a,problem,for,the,long,NN
be,a,problem,for,the,long,run,IN
a,problem,for,the,long,run,COMMA,DT
problem,for,the,long,run,COMMA,DQ,JJ
for,the,long,run,COMMA,DQ,says,NN
the,long,run,COMMA,DQ,says,George,COMMA
long,run,COMMA,DQ,says,George,Palmatier,DQ
run,COMMA,DQ,says,George,Palmatier,COMMA,VBZ
COMMA,DQ,says,George,Palmatier,COMMA,a,NNP
DQ,says,George,Palmatier,COMMA,a,Minden,NNP
says,George,Palmatier,COMMA,a,Minden,COMMA,COMMA
George,Palmatier,COMMA,a,Minden,COMMA,NevPERIOD,DT
Palmatier,COMMA,a,Minden,COMMA,NevPERIOD,COMMA,NNP
COMMA,a,Minden,COMMA,NevPERIOD,COMMA,sales,COMMA
a,Minden,COMMA,NevPERIOD,COMMA,sales,consultant,NNP
Minden,COMMA,NevPERIOD,COMMA,sales,consultant,and,COMMA
COMMA,NevPERIOD,COMMA,sales,consultant,and,author,NNS
NevPERIOD,COMMA,sales,consultant,and,author,of,NN
COMMA,sales,consultant,and,author,of,DBQ,CC
sales,consultant,and,author,of,DBQ,The,NN
consultant,and,author,of,DBQ,The,Marketing,IN
and,author,of,DBQ,The,Marketing,Edge,DBQ
author,of,DBQ,The,Marketing,Edge,PERIOD,DT
of,DBQ,The,Marketing,Edge,PERIOD,DQ,NN
DBQ,The,Marketing,Edge,PERIOD,DQ,_,NN
The,Marketing,Edge,PERIOD,DQ,_,_,PERIOD
Marketing,Edge,PERIOD,DQ,_,_,_,DQ
_,_,_,The,Office,of,Thrift,DT
_,_,The,Office,of,Thrift,Supervision,NNP
_,The,Office,of,Thrift,Supervision,banned,IN
The,Office,of,Thrift,Supervision,banned,BPERIODJPERIOD,NNP
Office,of,Thrift,Supervision,banned,BPERIODJPERIOD,Garman,NNP
of,Thrift,Supervision,banned,BPERIODJPERIOD,Garman,COMMA,VBD
Thrift,Supervision,banned,BPERIODJPERIOD,Garman,COMMA,a,NNP
Supervision,banned,BPERIODJPERIOD,Garman,COMMA,a,former,NNP
banned,BPERIODJPERIOD,Garman,COMMA,a,former,director,COMMA
BPERIODJPERIOD,Garman,COMMA,a,former,director,of,DT
Garman,COMMA,a,former,director,of,the,JJ
COMMA,a,former,director,of,the,failed,NN
a,former,director,of,the,failed,Vision,IN
former,director,of,the,failed,Vision,Banc,DT
director,of,the,failed,Vision,Banc,Savings,VBN
of,the,failed,Vision,Banc,Savings,Association,NNP
the,failed,Vision,Banc,Savings,Association,of,NNP
failed,Vision,Banc,Savings,Association,of,Kingsville,NNPS
Vision,Banc,Savings,Association,of,Kingsville,COMMA,NNP
Banc,Savings,Association,of,Kingsville,COMMA,Texas,IN
Savings,Association,of,Kingsville,COMMA,Texas,COMMA,NNP
Association,of,Kingsville,COMMA,Texas,COMMA,from,COMMA
of,Kingsville,COMMA,Texas,COMMA,from,working,NNP
Kingsville,COMMA,Texas,COMMA,from,working,in,COMMA
COMMA,Texas,COMMA,from,working,in,any,IN
Texas,COMMA,from,working,in,any,financial,VBG
COMMA,from,working,in,any,financial,institution,IN
from,working,in,any,financial,institution,insured,DT
working,in,any,financial,institution,insured,by,JJ
in,any,financial,institution,insured,by,the,NN
any,financial,institution,insured,by,the,government,VBN
financial,institution,insured,by,the,government,PERIOD,IN
institution,insured,by,the,government,PERIOD,_,DT
insured,by,the,government,PERIOD,_,_,NN
by,the,government,PERIOD,_,_,_,PERIOD
_,_,_,The,federal,government,is,DT
_,_,The,federal,government,is,nSQt,JJ
_,The,federal,government,is,nSQt,even,NN
The,federal,government,is,nSQt,even,attempting,VBZ
federal,government,is,nSQt,even,attempting,yet,RB
government,is,nSQt,even,attempting,yet,to,RB
is,nSQt,even,attempting,yet,to,estimate,VBG
nSQt,even,attempting,yet,to,estimate,how,RB
even,attempting,yet,to,estimate,how,much,TO
attempting,yet,to,estimate,how,much,the,VB
yet,to,estimate,how,much,the,earthquake,WRB
to,estimate,how,much,the,earthquake,will,JJ
estimate,how,much,the,earthquake,will,cost,DT
how,much,the,earthquake,will,cost,it,NN
much,the,earthquake,will,cost,it,PERIOD,MD
the,earthquake,will,cost,it,PERIOD,_,VB
earthquake,will,cost,it,PERIOD,_,_,PRP
will,cost,it,PERIOD,_,_,_,PERIOD
_,_,_,She,would,nSQt,be,PRP
_,_,She,would,nSQt,be,wilfully,MD
_,She,would,nSQt,be,wilfully,planning,RB
She,would,nSQt,be,wilfully,planning,his,VB
would,nSQt,be,wilfully,planning,his,destruction,RB
nSQt,be,wilfully,planning,his,destruction,PERIOD,VBG
be,wilfully,planning,his,destruction,PERIOD,_,PRPSTR
wilfully,planning,his,destruction,PERIOD,_,_,NN
planning,his,destruction,PERIOD,_,_,_,PERIOD
_,_,_,It,was,a,relief,PRP
_,_,It,was,a,relief,when,VBD
_,It,was,a,relief,when,they,DT
It,was,a,relief,when,they,finally,NN
was,a,relief,when,they,finally,came,WRB
a,relief,when,they,finally,came,PERIOD,PRP
relief,when,they,finally,came,PERIOD,_,RB
when,they,finally,came,PERIOD,_,_,VBD
they,finally,came,PERIOD,_,_,_,PERIOD
_,_,_,DBQ,There,SQs,only,DBQ
_,_,DBQ,There,SQs,only,one,EX
_,DBQ,There,SQs,only,one,more,VBZ
DBQ,There,SQs,only,one,more,ranch,RB
There,SQs,only,one,more,ranch,three,NN
SQs,only,one,more,ranch,three,miles,RBR
only,one,more,ranch,three,miles,north,NN
one,more,ranch,three,miles,north,of,CD
more,ranch,three,miles,north,of,here,NNS
ranch,three,miles,north,of,here,PERIOD,JJ
three,miles,north,of,here,PERIOD,_,IN
miles,north,of,here,PERIOD,_,_,RB
north,of,here,PERIOD,_,_,_,PERIOD
_,_,_,Since,local,benefit-seeking,matters,IN
_,_,Since,local,benefit-seeking,matters,more,JJ
_,Since,local,benefit-seeking,matters,more,and,NN
Since,local,benefit-seeking,matters,more,and,national,VBZ
local,benefit-seeking,matters,more,and,national,policy,RBR
benefit-seeking,matters,more,and,national,policy,making,CC
matters,more,and,national,policy,making,matters,JJ
more,and,national,policy,making,matters,less,NN
and,national,policy,making,matters,less,in,NN
national,policy,making,matters,less,in,the,VBZ
policy,making,matters,less,in,the,lower,RBR
making,matters,less,in,the,lower,chamber,IN
matters,less,in,the,lower,chamber,of,DT
less,in,the,lower,chamber,of,Congress,JJR
in,the,lower,chamber,of,Congress,COMMA,NN
the,lower,chamber,of,Congress,COMMA,this,IN
lower,chamber,of,Congress,COMMA,this,is,NNP
chamber,of,Congress,COMMA,this,is,precisely,COMMA
of,Congress,COMMA,this,is,precisely,the,DT
Congress,COMMA,this,is,precisely,the,pattern,VBZ
COMMA,this,is,precisely,the,pattern,one,RB
this,is,precisely,the,pattern,one,would,DT
is,precisely,the,pattern,one,would,expect,NN
precisely,the,pattern,one,would,expect,if,PRP
the,pattern,one,would,expect,if,Republicans,MD
pattern,one,would,expect,if,Republicans,are,VB
one,would,expect,if,Republicans,are,less,IN
would,expect,if,Republicans,are,less,willing,NNS
expect,if,Republicans,are,less,willing,to,VBP
if,Republicans,are,less,willing,to,engage,RBR
Republicans,are,less,willing,to,engage,in,JJ
are,less,willing,to,engage,in,local,TO
less,willing,to,engage,in,local,benefit-seeking,VB
willing,to,engage,in,local,benefit-seeking,than,IN
to,engage,in,local,benefit-seeking,than,their,JJ
engage,in,local,benefit-seeking,than,their,Democratic,NN
in,local,benefit-seeking,than,their,Democratic,counterparts,IN
local,benefit-seeking,than,their,Democratic,counterparts,PERIOD,PRPSTR
benefit-seeking,than,their,Democratic,counterparts,PERIOD,_,JJ
than,their,Democratic,counterparts,PERIOD,_,_,NNS
their,Democratic,counterparts,PERIOD,_,_,_,PERIOD
_,_,_,This,vacation,had,seemed,DT
_,_,This,vacation,had,seemed,like,NN
_,This,vacation,had,seemed,like,a,VBD
This,vacation,had,seemed,like,a,good,VBN
vacation,had,seemed,like,a,good,idea,IN
had,seemed,like,a,good,idea,last,DT
seemed,like,a,good,idea,last,week,JJ
like,a,good,idea,last,week,COMMA,NN
a,good,idea,last,week,COMMA,when,JJ
good,idea,last,week,COMMA,when,his,NN
idea,last,week,COMMA,when,his,doctor,COMMA
last,week,COMMA,when,his,doctor,had,WRB
week,COMMA,when,his,doctor,had,prescribed,PRPSTR
COMMA,when,his,doctor,had,prescribed,it,NN
when,his,doctor,had,prescribed,it,PERIOD,VBD
his,doctor,had,prescribed,it,PERIOD,_,VBN
doctor,had,prescribed,it,PERIOD,_,_,PRP
had,prescribed,it,PERIOD,_,_,_,PERIOD
_,_,_,MrPERIOD,Mason,said,that,NNP
_,_,MrPERIOD,Mason,said,that,many,NNP
_,MrPERIOD,Mason,said,that,many,Jewish,VBD
MrPERIOD,Mason,said,that,many,Jewish,voters,IN
Mason,said,that,many,Jewish,voters,feel,JJ
said,that,many,Jewish,voters,feel,guilty,JJ
that,many,Jewish,voters,feel,guilty,toward,NNS
many,Jewish,voters,feel,guilty,toward,blacks,VBP
Jewish,voters,feel,guilty,toward,blacks,COMMA,JJ
voters,feel,guilty,toward,blacks,COMMA,so,IN
feel,guilty,toward,blacks,COMMA,so,they,NNS
guilty,toward,blacks,COMMA,so,they,support,COMMA
toward,blacks,COMMA,so,they,support,black,IN
blacks,COMMA,so,they,support,black,candidates,PRP
COMMA,so,they,support,black,candidates,uncritically,VBP
so,they,support,black,candidates,uncritically,PERIOD,JJ
they,support,black,candidates,uncritically,PERIOD,_,NNS
support,black,candidates,uncritically,PERIOD,_,_,RB
black,candidates,uncritically,PERIOD,_,_,_,PERIOD
_,_,_,The,ministers,are,to,DT
_,_,The,ministers,are,to,reshape,NNS
_,The,ministers,are,to,reshape,NATO,VBP
The,ministers,are,to,reshape,NATO,SQs,TO
ministers,are,to,reshape,NATO,SQs,defenses,VB
are,to,reshape,NATO,SQs,defenses,in,NNP
to,reshape,NATO,SQs,defenses,in,Western,POS
reshape,NATO,SQs,defenses,in,Western,Europe,NNS
NATO,SQs,defenses,in,Western,Europe,amid,IN
SQs,defenses,in,Western,Europe,amid,fast-paced,NNP
defenses,in,Western,Europe,amid,fast-paced,changes,NNP
in,Western,Europe,amid,fast-paced,changes,in,IN
Western,Europe,amid,fast-paced,changes,in,the,JJ
Europe,amid,fast-paced,changes,in,the,Soviet,NNS
amid,fast-paced,changes,in,the,Soviet,bloc,IN
fast-paced,changes,in,the,Soviet,bloc,PERIOD,DT
changes,in,the,Soviet,bloc,PERIOD,_,JJ
in,the,Soviet,bloc,PERIOD,_,_,NN
the,Soviet,bloc,PERIOD,_,_,_,PERIOD
_,_,_,Anne,smiled,PERIOD,_,NNP
_,_,Anne,smiled,PERIOD,_,_,VBD
_,Anne,smiled,PERIOD,_,_,_,PERIOD
_,_,_,Serial,bonds,were,priced,JJ
_,_,Serial,bonds,were,priced,to,NNS
_,Serial,bonds,were,priced,to,yield,VBD
Serial,bonds,were,priced,to,yield,to,VBN
bonds,were,priced,to,yield,to,6PERIOD75,TO
were,priced,to,yield,to,6PERIOD75,PERCENT,VB
priced,to,yield,to,6PERIOD75,PERCENT,in,TO
to,yield,to,6PERIOD75,PERCENT,in,2000,CD
yield,to,6PERIOD75,PERCENT,in,2000,PERIOD,NN
to,6PERIOD75,PERCENT,in,2000,PERIOD,_,IN
6PERIOD75,PERCENT,in,2000,PERIOD,_,_,CD
PERCENT,in,2000,PERIOD,_,_,_,PERIOD
_,_,_,Since,the,formula,assumes,IN
_,_,Since,the,formula,assumes,an,DT
_,Since,the,formula,assumes,an,8,NN
Since,the,formula,assumes,an,8,PERCENT,VBZ
the,formula,assumes,an,8,PERCENT,before-tax,DT
formula,assumes,an,8,PERCENT,before-tax,return,CD
assumes,an,8,PERCENT,before-tax,return,in,NN
an,8,PERCENT,before-tax,return,in,a,JJ
8,PERCENT,before-tax,return,in,a,mutual,NN
PERCENT,before-tax,return,in,a,mutual,fund,IN
before-tax,return,in,a,mutual,fund,COMMA,DT
return,in,a,mutual,fund,COMMA,there,JJ
in,a,mutual,fund,COMMA,there,would,NN
a,mutual,fund,COMMA,there,would,also,COMMA
mutual,fund,COMMA,there,would,also,be,EX
fund,COMMA,there,would,also,be,STR,MD
COMMA,there,would,also,be,STR,16COMMA500,RB
there,would,also,be,STR,16COMMA500,in,VB
would,also,be,STR,16COMMA500,in,taxes,STR
also,be,STR,16COMMA500,in,taxes,to,CD
be,STR,16COMMA500,in,taxes,to,pay,IN
STR,16COMMA500,in,taxes,to,pay,over,NNS
16COMMA500,in,taxes,to,pay,over,the,TO
in,taxes,to,pay,over,the,12,VB
taxes,to,pay,over,the,12,years,IN
to,pay,over,the,12,years,PERIOD,DT
pay,over,the,12,years,PERIOD,_,CD
over,the,12,years,PERIOD,_,_,NNS
the,12,years,PERIOD,_,_,_,PERIOD
_,_,_,Though,not,intentionally,COMMA,IN
_,_,Though,not,intentionally,COMMA,the,RB
_,Though,not,intentionally,COMMA,the,Cowboys,RB
Though,not,intentionally,COMMA,the,Cowboys,SQ,COMMA
not,intentionally,COMMA,the,Cowboys,SQ,MrPERIOD,DT
intentionally,COMMA,the,Cowboys,SQ,MrPERIOD,Jones,NNPS
COMMA,the,Cowboys,SQ,MrPERIOD,Jones,has,POS
the,Cowboys,SQ,MrPERIOD,Jones,has,come,NNP
Cowboys,SQ,MrPERIOD,Jones,has,come,to,NNP
SQ,MrPERIOD,Jones,has,come,to,represent,VBZ
MrPERIOD,Jones,has,come,to,represent,this,VBN
Jones,has,come,to,represent,this,new,TO
has,come,to,represent,this,new,breed,VB
come,to,represent,this,new,breed,of,DT
to,represent,this,new,breed,of,owner,JJ
represent,this,new,breed,of,owner,PERIOD,NN
this,new,breed,of,owner,PERIOD,_,IN
new,breed,of,owner,PERIOD,_,_,NN
breed,of,owner,PERIOD,_,_,_,PERIOD
_,_,_,They,visited,the,shipyards,PRP
_,_,They,visited,the,shipyards,at,VBD
_,They,visited,the,shipyards,at,Brest,DT
They,visited,the,shipyards,at,Brest,and,NNS
visited,the,shipyards,at,Brest,and,Pierre,IN
the,shipyards,at,Brest,and,Pierre,had,NNP
shipyards,at,Brest,and,Pierre,had,to,CC
at,Brest,and,Pierre,had,to,sign,NNP
Brest,and,Pierre,had,to,sign,the,VBD
and,Pierre,had,to,sign,the,register,TO
Pierre,had,to,sign,the,register,COMMA,VB
had,to,sign,the,register,COMMA,vouching,DT
to,sign,the,register,COMMA,vouching,for,NN
sign,the,register,COMMA,vouching,for,the,COMMA
the,register,COMMA,vouching,for,the,integrity,VBG
register,COMMA,vouching,for,the,integrity,of,IN
COMMA,vouching,for,the,integrity,of,the,DT
vouching,for,the,integrity,of,the,visiting,NN
for,the,integrity,of,the,visiting,foreigner,IN
the,integrity,of,the,visiting,foreigner,PERIOD,DT
integrity,of,the,visiting,foreigner,PERIOD,_,VBG
of,the,visiting,foreigner,PERIOD,_,_,NN
the,visiting,foreigner,PERIOD,_,_,_,PERIOD
_,_,_,If,COMMA,by,that,IN
_,_,If,COMMA,by,that,time,COMMA
_,If,COMMA,by,that,time,COMMA,IN
If,COMMA,by,that,time,COMMA,the,DT
COMMA,by,that,time,COMMA,the,network,NN
by,that,time,COMMA,the,network,reaches,COMMA
that,time,COMMA,the,network,reaches,14,DT
time,COMMA,the,network,reaches,14,million,NN
COMMA,the,network,reaches,14,million,homes,VBZ
the,network,reaches,14,million,homes,COMMA,CD
network,reaches,14,million,homes,COMMA,the,CD
reaches,14,million,homes,COMMA,the,contract,NNS
14,million,homes,COMMA,the,contract,will,COMMA
million,homes,COMMA,the,contract,will,be,DT
homes,COMMA,the,contract,will,be,renewed,NN
COMMA,the,contract,will,be,renewed,for,MD
the,contract,will,be,renewed,for,five,VB
contract,will,be,renewed,for,five,more,VBN
will,be,renewed,for,five,more,years,IN
be,renewed,for,five,more,years,PERIOD,CD
renewed,for,five,more,years,PERIOD,_,JJR
for,five,more,years,PERIOD,_,_,NNS
five,more,years,PERIOD,_,_,_,PERIOD
_,_,_,Near,the,coast,there,IN
_,_,Near,the,coast,there,are,DT
_,Near,the,coast,there,are,dense,NN
Near,the,coast,there,are,dense,coverts,EX
the,coast,there,are,dense,coverts,of,VBP
coast,there,are,dense,coverts,of,live,JJ
there,are,dense,coverts,of,live,oak,NNS
are,dense,coverts,of,live,oak,interspersed,IN
dense,coverts,of,live,oak,interspersed,with,JJ
coverts,of,live,oak,interspersed,with,marshes,NN
of,live,oak,interspersed,with,marshes,and,VBN
live,oak,interspersed,with,marshes,and,prairies,IN
oak,interspersed,with,marshes,and,prairies,PERIOD,NNS
interspersed,with,marshes,and,prairies,PERIOD,_,CC
with,marshes,and,prairies,PERIOD,_,_,NNS
marshes,and,prairies,PERIOD,_,_,_,PERIOD
_,_,_,Hanging,over,the,bar,VBG
_,_,Hanging,over,the,bar,was,IN
_,Hanging,over,the,bar,was,an,DT
Hanging,over,the,bar,was,an,oil,NN
over,the,bar,was,an,oil,painting,VBD
